v1,v2
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time 
ham,Yes:)sura in sun tv.:)lol.
ham,Guess he wants alone time. We could just show up and watch when they do..
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \"""""
ham,ÌÏ log off 4 wat. It's sdryb8i
spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
ham,Hey you around? I've got enough for a half + the ten I owe you
ham,Gudnite....tc...practice going on
ham,Mm i had my food da from out
ham,Hey what happen de. Are you alright.
ham,"No, its true..k,Do u knw dis no. &lt;#&gt; ?"
ham,"Sir, Waiting for your mail."
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
ham,So why didnt you holla?
ham,"Sorry, I'll call later In meeting."
ham,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
ham,Much better now thanks lol
ham,Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
ham,Host-based IDPS for linux systems.
ham,1 in cbe. 2 in chennai.
ham,Is ur paper today in e morn or aft?
ham,Dont pick up d call when something important is There to tell. Hrishi
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,I'm in class. Will holla later
ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,U still going to the mall?
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
ham,Does uncle timi help in clearing cars
ham,K..k.:)congratulation ..
ham,And by when you're done I mean now
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,Can u look 4 me in da lib i got stuff havent finish yet.
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
ham,No problem with the renewal. I.ll do it right away but i dont know his details.
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,No pic. Please re-send.
ham,Left dessert. U wan me 2 go suntec look 4 u?
ham,"Goodnight, sleep well da please take care pa. Please."
ham,Hello madam how are you ?
ham,Ok. She'll be ok. I guess
ham,Go where n buy? Juz buy when we get there lar.
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,"Ya ok, then had dinner?"
spam,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham,Ok i'm coming home now.
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
ham,Don know:)this week i'm going to tirunelvai da.
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
ham,With my sis lor... We juz watched italian job.
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,"And very importantly, all we discuss is between u and i only."
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,Dunno y u ask me.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,K:)eng rocking in ashes:)
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
ham,"Sorry, was in the bathroom, sup"
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,Thanx 4 e brownie it's v nice...
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
ham,"I'm in a meeting, call me later at"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
ham,Yo im right by yo work
spam,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,o turns out i had stereo love on mi phone under the unknown album.
ham,No b4 Thursday
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
ham,"That's the trouble with classes that go well - you're due a dodgey one Û_ Expecting mine tomo! See you for recovery, same time, same place "
ham,Yeah I'll try to scrounge something up
ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
ham,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
ham,Yes princess! I want to catch you with my big strong hands...
ham,LOL what happens in Vegas stays in vegas
ham,Ay wana meet on sat?Ì_ wkg on sat?
ham,Yeah I can still give you a ride
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,";-( oh well, c u later"
ham,I'm at home. Please call
ham,I went to project centre
ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
ham,So the sun is anti sleep medicine.
ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour
ham,U can call me now...
ham,Ok..
ham,I emailed yifeng my part oredi.. Can Ì_ get it fr him..
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?"
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,S....s...india going to draw the series after many years in south african soil..
ham,I need... Coz i never go before 
ham,I know you are serving. I mean what are you doing now.
ham,DO U WANT 2 MEET UP 2MORRO
ham,IÛ÷m going to try for 2 months ha ha only joking
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Designation is software developer and may be she get chennai:)
ham,In sch but neva mind u eat 1st lor..
ham,.Please charge my mobile when you get up in morning.
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
ham,Thank you. do you generally date the brothas?
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
ham,How many licks does it take to get to the center of a tootsie pop?
ham,Hey do you want anything to buy:)
ham,Ok
ham,"Babe, I'm back ... Come back to me ..."
ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-)."""
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola."
ham,\HEY KATE
ham,His frens go then he in lor. Not alone wif my mum n sis lor.
ham,Ew are you one of them?
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,Howz pain?hope u r fine..
ham,When did you get to the library
ham,"Come to mu, we're sorting out our narcotics situation"
ham,Dude got a haircut. Now its breezy up there
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
ham,Also maaaan are you missing out
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,Nothing spl..wat abt u and whr ru?
ham,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
ham,Great to hear you are settling well. So what's happenin wit ola?
ham,Only once then after ill obey all yours.
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
ham,No message..no responce..what happend?
ham,LMAO where's your fish memory when I need it?
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
ham,Cuz ibored. And don wanna study
ham,Change windows logoff sound..
ham,Good Morning plz call me sir
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
ham,Crucify is c not s. You should have told me earlier.
ham,Was the farm open?
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,"I wake up long ago already... Dunno, what other thing?"
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921"
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,I didn't get the second half of that message
ham,No no. I will check all rooms befor activities
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
ham,But i dint slept in afternoon.
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
ham,"Lol, oh you got a friend for the dog ?"
ham,Ok k..sry i knw 2 siva..tats y i askd..
ham,Aiya we discuss later lar... Pick Ì_ up at 4 is it?
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
spam,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)"
ham,Ok going to sleep. Hope i can meet her.
ham,"Theoretically yeah, he could be able to come"
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
ham,Well then you have a great weekend!
ham,Sweet heart how are you?
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Thank god they are in bed!
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,Ard 530 lor. I ok then message Ì_ lor.
ham,Whos this am in class:-)
ham,Huh but i cant go 2 ur house empty handed right?
ham,Wife.how she knew the time of murder exactly
ham,In meeting da. I will call you
ham,Carlos'll be here in a minute if you still need to buy
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
ham,"Playin space poker, u?"
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+
ham,Dunno lei he neva say...
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,You still at grand prix?
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,K. I will sent it again
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,No need to buy lunch for me.. I eat maggi mee..
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
ham,Do we have any spare power supplies
ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
ham,Convey my regards to him
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\"""""
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham,did u get that message
ham,Yes i will be there. Glad you made it.
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
ham,Jason says it's cool if we pick some up from his place in like an hour
ham,"I noe la... U wana pei bf oso rite... K lor, other days den..."
ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
ham,Hello! Good week? Fancy a drink or something later?
ham,Aight ill get on fb in a couple minutes
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
ham,I think if he rule tamilnadu..then its very tough for our people.
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
ham,Ic. There are a lotta childporn cars then.
ham,"Haha figures, well I found the piece and priscilla's bowl"
ham,Thats cool princess! I will cover your face in hot sticky cum :)
ham,How are you. Wish you a great semester
ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night"""
ham,What is your record for one night? :)
ham,Did you get any gift? This year i didnt get anything. So bad
spam,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk."""
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
ham,Is there any training tomorrow?
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,Oh:)as usual vijay film or its different?
ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
ham,Tell me something. Thats okay.
ham,Thinkin about someone is all good. No drugs for that
spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,I think the other two still need to get cash but we can def be ready by 9
ham,"Didn't try, g and I decided not to head out"
ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50"
ham,Let me know when you've got the money so carlos can make the call
ham,Okie
ham,Still chance there. If you search hard you will get it..let have a try :)
spam,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,Will it help if we propose going back again tomorrow
ham,Not from this campus. Are you in the library?
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"Call me, i am senthil from hsbc."
ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
ham,I want to see your pretty pussy...
ham,Si si. I think ill go make those oreo truffles.
ham,Pick you up bout 7.30ish? What time are  and that going?
ham,Or i go home first lar Ì_ wait 4 me lor.. I put down my stuff first..
ham,K:)i will give my kvb acc details:)
ham,She's good. How are you. Where r u working now
ham,K still are you loving me.
ham,All done? All handed in? Celebrations in full swing yet?
ham,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn"""
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
ham,Do you know when dad will be back?
ham,And do you have any one that can teach me how to ship cars.
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
ham,"Night night, see you tomorrow"
ham,I AM AT A PARTY WITH ALEX NICHOLS
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
ham,Aiyo cos i sms Ì_ then Ì_ neva reply so i wait 4 Ì_ to reply lar. I tot Ì_ havent finish ur lab wat.
ham,I'm thinking that chennai forgot to come for auction..
ham,Now thats going to ruin your thesis!
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
ham,We have to pick rayan macleran there.
ham,2mro i am not coming to gym machan. Goodnight.
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
ham,Wife.how she knew the time of murder exactly
ham,Yes there were many sweets
ham,Hope you are having a good week. Just checking in
ham,"Aight, I'll hit you up when I get some cash"
ham,"Bill, as in: Are there any letters for me. iÛªm expecting one from orange that isnÛªt a bill but may still say orange on it."
ham,Yes.i'm in office da:)
ham,I dunno until when... Lets go learn pilates...
ham,Ok can...
ham,Yay can't wait to party together!
ham,O i played smash bros  &lt;#&gt;  religiously.
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
spam,88066 FROM 88066 LOST 3POUND HELP
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
ham,Jay's getting really impatient and belligerent
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,What type of stuff do you sing?
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
spam,"URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
ham,"Sorry, I'll call later"
ham,"Not much, just some textin'. How bout you?"
spam,URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
ham,I cant pick the phone right now. Pls send a message
ham,K I'll call you when I'm close
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,Yes.he have good crickiting mind
ham,Also remember to get dobby's bowl from your car
ham,Somebody should go to andros and steal ice
ham,I not busy juz dun wan 2 go so early.. Hee.. 
